pdb_id,difficulty
1AHW,rigid_body
1DQJ,rigid_body
1E6J,rigid_body
1JPS,rigid_body
1MLC,rigid_body
1S78,rigid_body
1VFB,rigid_body
1WEJ,rigid_body
2FD6,rigid_body
2I25,rigid_body
2VIS,rigid_body
2VXT,rigid_body
2W9E,rigid_body
3EOA,rigid_body
3HMX,rigid_body
3MJ9,rigid_body
3MXW,rigid_body
3RVW,rigid_body
3SE8,rigid_body
3U7Y,rigid_body
3WD5,rigid_body
4DN4,rigid_body
4FP8,rigid_body
4FQI,rigid_body
4G6J,rigid_body
4G6M,rigid_body
4GXU,rigid_body
4M5Z,rigid_body
4Y7M,rigid_body
5GRJ,rigid_body
5JMO,rigid_body
5O14,rigid_body
5O1R,rigid_body
5SV3,rigid_body
5WK3,rigid_body
5WUX,rigid_body
5X0T,rigid_body
5Y9J,rigid_body
6A77,rigid_body
6B0S,rigid_body
6BPC,rigid_body
6CWG,rigid_body
6DBG,rigid_body
6OC3,rigid_body
1AVX,rigid_body
1AY7,rigid_body
1BUH,rigid_body
1BVN,rigid_body
1CLV,rigid_body
1D6R,rigid_body
1DFJ,rigid_body
1E6E,rigid_body
1EAW,rigid_body
1EWY,rigid_body
1EZU,rigid_body
1F34,rigid_body
1F51,rigid_body
1FLE,rigid_body
1GL1,rigid_body
1GLA,rigid_body
1GXD,rigid_body
1HIA,rigid_body
1JTD,rigid_body
1JTG,rigid_body
1JWH,rigid_body
1MAH,rigid_body
1OC0,rigid_body
1OPH,rigid_body
1OYV,rigid_body
1OYV,rigid_body
1PPE,rigid_body
1R0R,rigid_body
1TMQ,rigid_body
1UDI,rigid_body
1US7,rigid_body
1WDW,rigid_body
1YVB,rigid_body
1Z5Y,rigid_body
2A1A,rigid_body
2A9K,rigid_body
2ABZ,rigid_body
2AYO,rigid_body
2B42,rigid_body
2GAF,rigid_body
2J0T,rigid_body
2MTA,rigid_body
2O8V,rigid_body
2OOB,rigid_body
2OOR,rigid_body
2OUL,rigid_body
2PCC,rigid_body
2SIC,rigid_body
2SNI,rigid_body
2UUY,rigid_body
2YVJ,rigid_body
3A4S,rigid_body
3K75,rigid_body
3LVK,rigid_body
3PC8,rigid_body
3SGQ,rigid_body
3VLB,rigid_body
4CPA,rigid_body
4H03,rigid_body
4HX3,rigid_body
7CEI,rigid_body
1A2K,rigid_body
1AK4,rigid_body
1AKJ,rigid_body
1AZS,rigid_body
1E96,rigid_body
1EFN,rigid_body
1EXB,rigid_body
1FCC,rigid_body
1FFW,rigid_body
1FQJ,rigid_body
1GCQ,rigid_body
1GHQ,rigid_body
1GPW,rigid_body
1H9D,rigid_body
1HCF,rigid_body
1HE1,rigid_body
1I4D,rigid_body
1J2J,rigid_body
1K74,rigid_body
1KAC,rigid_body
1KLU,rigid_body
1KTZ,rigid_body
1KXP,rigid_body
1M27,rigid_body
1ML0,rigid_body
1OFU,rigid_body
1PVH,rigid_body
1QA9,rigid_body
1RLB,rigid_body
1RV6,rigid_body
1S1Q,rigid_body
1SBB,rigid_body
1T6B,rigid_body
1XD3,rigid_body
1XU1,rigid_body
1Z0K,rigid_body
1ZHH,rigid_body
1ZHI,rigid_body
2A5T,rigid_body
2AJF,rigid_body
2B4J,rigid_body
2BTF,rigid_body
2FJU,rigid_body
2G77,rigid_body
2GTP,rigid_body
2HLE,rigid_body
2HQS,rigid_body
2VDB,rigid_body
2X9A,rigid_body
3BIW,rigid_body
3BP8,rigid_body
3D5S,rigid_body
3H2V,rigid_body
3P57,rigid_body
3P57,rigid_body
3P57,rigid_body
4M76,rigid_body
2DD8,medium_difficulty
3EO1,medium_difficulty
3G6D,medium_difficulty
3HI6,medium_difficulty
3L5W,medium_difficulty
3RJQ,medium_difficulty
3V6Z,medium_difficulty
4ETQ,medium_difficulty
4M3K,medium_difficulty
4POU,medium_difficulty
5CBA,medium_difficulty
5E5M,medium_difficulty
5HGG,medium_difficulty
5HYS,medium_difficulty
5KOV,medium_difficulty
5VNW,medium_difficulty
5WHK,medium_difficulty
6A0Z,medium_difficulty
6AL0,medium_difficulty
6EY6,medium_difficulty
1CGI,medium_difficulty
1IJK,medium_difficulty
1JIW,medium_difficulty
1KKL,medium_difficulty
1M10,medium_difficulty
1NW9,medium_difficulty
1R6Q,medium_difficulty
1ZM4,medium_difficulty
2NZ8,medium_difficulty
2Z0E,medium_difficulty
4FZA,medium_difficulty
4IZ7,medium_difficulty
4LW4,medium_difficulty
1B6C,medium_difficulty
1FC2,medium_difficulty
1GP2,medium_difficulty
1GRN,medium_difficulty
1HE8,medium_difficulty
1I2M,medium_difficulty
1IB1,medium_difficulty
1K5D,medium_difficulty
1LFD,medium_difficulty
1MQ8,medium_difficulty
1N2C,medium_difficulty
1SYX,medium_difficulty
1WQ1,medium_difficulty
1XQS,medium_difficulty
2CFH,medium_difficulty
2H7V,medium_difficulty
2HRK,medium_difficulty
2OZA,medium_difficulty
3AAA,medium_difficulty
3AAD,medium_difficulty
3BX7,medium_difficulty
3CPH,medium_difficulty
3DAW,medium_difficulty
3R9A,medium_difficulty
3S9D,medium_difficulty
3SZK,medium_difficulty
4JCV,medium_difficulty
2FJG,difficult
4DW2,difficult
5C7X,difficult
1ACB,difficult
1F6M,difficult
1FQ1,difficult
1JK9,difficult
1JMO,difficult
1JZD,difficult
1PXV,difficult
1ZLI,difficult
2IDO,difficult
2O3B,difficult
2OT3,difficult
3FN1,difficult
3H11,difficult
4GAM,difficult
1ATN,difficult
1BKD,difficult
1DE4,difficult
1E4K,difficult
1EER,difficult
1FAK,difficult
1H1V,difficult
1IBR,difficult
1IRA,difficult
1R8S,difficult
1RKE,difficult
1Y64,difficult
2C0L,difficult
2I9B,difficult
2J7P,difficult
3AAD,difficult
3F1P,difficult
3L89,difficult
